index,spectrogram_type,win_length,n_mels,bins_per_octave,n_octaves,n_harms,gamma,freq_bins,channels
0,STFT,1024,,,,,,513,1
1,STFT,2048,,,,,,513,1
2,Mel,1024,192,,,,,192,1
3,Mel,2048,128,,,,,128,1
4,Mel,2048,192,,,,,192,1
5,Mel,2048,256,,,,,256,1
6,CQT,,,12,7,,,84,1
7,CQT,,,12,8,,,96,1
8,CQT,,,24,8,,,192,1
9,CQT,,,36,8,,,288,1
10,CQT,,,48,8,,,384,1
11,CQT,,,60,8,,,480,1
12,HCQT,,,36,5,4,,180,4
13,HCQT,,,60,5,4,,300,4
14,HCQT,,,60,6,4,,360,4
15,HCQT,,,60,6,5,,360,5
16,HCQT,,,60,6,6,,360,6
17,VQT,,,36,7,,10,252,1
18,VQT,,,60,7,,10,420,1
19,VQT,,,60,8,,10,480,1
20,VQT,,,60,8,,20,480,1
21,VQT,,,60,8,,30,480,1